project;vcsName;commitDate;commitHash;tickets;hasFixedTicket
RAMPART;git;2012-09-10;4630f7e2f4726f6e668301e96722c96eec6078cd;[];false
RAMPART;git;2012-09-10;9dd78f7c8e020fc28942bf786658dedb24d1e78a;[];false
RAMPART;git;2012-09-10;1d0d1c8e2c267e23b5335c92aef3f19e073f630a;[];false
RAMPART;git;2012-09-10;4f896edb330a21ba937a66938ea78ad1728ac08d;[];false
RAMPART;git;2012-11-14;0bdc6235981dfd2c0b43da8b33438e487ec846c4;[];false
RAMPART;git;2012-11-14;e231e4ca8245d90f11d8dec642d10ad6eb3dd67b;[];false
RAMPART;git;2012-11-14;b5760fa33bd53ea1893a453d7d19bef981d054cd;[];false
RAMPART;git;2012-11-14;10226e9c8a8a2279f32e803aa3e9cb83d1c4cc11;[RAMPART-358];true
RAMPART;git;2012-12-16;5841ed697bf76cf9d7f287738809ed39936ac1ab;[];false
RAMPART;git;2012-12-16;f3f18efb78fccc38568ecbe7c51b732a63c3ed83;[];false
RAMPART;git;2013-01-25;07e7922f7852277ba3846b842fd3fd3839cdce7a;[RAMPART-384];true
RAMPART;git;2013-01-30;c6bfb0c6c17d06745d388cdda66aa896f4b7039b;[];false
RAMPART;git;2013-01-30;729fa9f4ffe319a2bebe011b9d82150016e1928b;[];false
RAMPART;git;2013-01-30;e4135df851c9862560a94b5bcc83a99c1a227d44;[];false
RAMPART;git;2013-01-30;4421ab0c742e7957dc310d6dd268fa6c56c5e8e3;[];false
RAMPART;git;2013-01-30;0f8dc194d38dad4256eea505ad0660f5cf7c33cd;[];false
RAMPART;git;2013-02-01;248c5551a5f6b7394d69af879c53c208493fa0fd;[];false
RAMPART;git;2013-02-04;36b9c3ff9ba34be7b744790af1753617f09fde2d;[];false
RAMPART;git;2013-02-05;7d65c4ddc34f921ce5fffe968f173f4d78c6cfc8;[];false
RAMPART;git;2013-02-26;1cfa0a771ae59734c8a0a5e413956a8142909e7c;[];false
RAMPART;git;2013-03-11;59cf5406d7862895b43773ab5842c8cded716515;[];false
RAMPART;git;2013-03-11;95dfa7b2d36f4c36dffe94d86f5784eb1cf7b069;[];false
RAMPART;git;2013-03-12;a479f91c5b0a05d77e72915408987971d56433b3;[];false
RAMPART;git;2013-03-13;e4444cf266de1c7d913d44287ceda0c68dba6f71;[];false
RAMPART;git;2013-03-13;2e94ecadacf3dbd39dca50e0c230c30ebc178448;[RAMPART-400];true
RAMPART;git;2013-03-15;b30325376388b10064290f39daaa88b96cd47808;[];false
RAMPART;git;2013-03-15;4f3df740ff2e4b06a0c07c6adc84a25cc3ade968;[];false
RAMPART;git;2013-03-16;bb986e2bfffc8ee9929391ec0cadd042caf1857b;[];false
RAMPART;git;2013-03-16;a1b04591879fdf0daaac967805f66116589dc1af;[];false
RAMPART;git;2013-03-17;1863364037019275f70e66cf77d1f092bf3bd984;[];false
RAMPART;git;2013-03-22;4acb07ad3bd105bba280df5cebece84c3203816b;[];false
RAMPART;git;2013-04-16;212a1c1cdbb4dd4b44a2174d7cd17ff15fe67b3b;[];false
RAMPART;git;2013-04-20;f5449d2487bbf6e4cfd8665134e44e656a0b61d1;[];false
RAMPART;git;2013-04-20;9dba4355f0185fe5e05f463d06785511f8b35228;[];false
RAMPART;git;2013-04-21;6614716b8aed1239bbfd4eef9a2be9df77d16bec;[];false
RAMPART;git;2013-05-01;8f7469d4bc164273901e637d3e26b95e7f67ecfe;[];false
RAMPART;git;2013-05-04;14bcf188623325e9598ad60cf4996d53b1eeb71c;[];false
RAMPART;git;2013-05-04;e96a1241858262a492664cee5420b17a2f15fdd1;[];false
RAMPART;git;2013-05-04;0e9e6ef89ffe6d84bd3e08818915a0030b4320a8;[];false
RAMPART;git;2013-05-04;74b8833ae7c69fd5045a02659a75aa2c8268afe6;[];false
RAMPART;git;2013-05-04;92ba26f719c214956177932517985db0382bf3f1;[];false
RAMPART;git;2013-05-05;219ea7bb5587d18bcfc04117674dbf43bcae2000;[];false
RAMPART;git;2013-05-05;178ebe94f80886617014fa766a9aa7efbfacddeb;[];false
RAMPART;git;2014-02-09;71dea3bbf079a788f411c283f4b83b178dd209ed;[RAMPART-409];true
RAMPART;git;2014-02-09;897c9b99bda13b701c6e1cefde956bd1fb0e0775;[RAMPART-409];true
RAMPART;git;2014-07-13;cfc5ea18b5fb7d09454783a808c5ababe01bb0ed;[RAMPART-415];true
RAMPART;git;2014-07-15;11b7a02f13f9d1b4514c82068dad13550e44eabb;[RAMPART-415];true
RAMPART;git;2014-07-16;1ea01bf60bcf74c7953a1d4c6df5df1811d909e7;[RAMPART-415];true
RAMPART;git;2014-07-20;7bac46edc7ae28e1c5b2334f0105acb3337b4bea;[];false
RAMPART;git;2014-07-20;f0d641fcf0e13e03d1beecf1da9df1454f5e4811;[RAMPART-416];true
RAMPART;git;2014-07-20;d263b63de99a2cf3e2fa9266a43a14b7c8c70127;[];false
RAMPART;git;2014-07-27;19bcae80c8b6b2e76573c1aafc4c44422a2f3287;[];false
RAMPART;git;2014-07-27;bf1f3cc57d42173387ddd337d488378110f7b466;[];false
RAMPART;git;2014-07-27;09e711f1ae1df1902a9c37454597d50727b761f9;[];false
RAMPART;git;2014-07-27;c951d5e260a837d064054158ecef6c6e8ac80e1b;[];false
RAMPART;git;2014-07-27;955f85a617f14d8239667e9c121afded44e13cbd;[];false
RAMPART;git;2014-07-28;741cbf4ffcac3fdfdbb9bb2829245710aa5cc8f4;[];false
RAMPART;git;2014-07-28;3196e6c780b46da06c54ada99ad3056a3506b089;[RAMPART-415];true
RAMPART;git;2014-07-28;129eacc5142889e4f9882afa2078e998ae6757e2;[RAMPART-415];true
RAMPART;git;2015-06-19;d8dc5ffff942246dc50356b050625cee658cdb00;[];false
RAMPART;git;2015-12-03;be25a79073cef3478ce799c14578376fc6fc5ecd;[];false
RAMPART;git;2015-12-06;ac475a89f4a5d8ac48ac3eb3dae59a9cfbdff5e7;[];false
RAMPART;git;2015-12-06;27a157706d67e1f6004f213cef322003912387cf;[];false
RAMPART;git;2015-12-06;888ea7c4f0eda1e18f6c5d09aba47360f685cf03;[];false
RAMPART;git;2015-12-06;69aecf44be993626e74bc2e89178376f33f49d02;[];false
RAMPART;git;2015-12-06;f4960eb2459a167db95e5410ac4fb022eab05067;[];false
RAMPART;git;2015-12-06;b6377e2d9a2e838e1d55db95c99d5e23dd3ae49e;[];false
RAMPART;git;2015-12-06;4dff8a11f03fb0593403dc98e66d28d521c57228;[];false
RAMPART;git;2015-12-06;a3a87ed0e723f5809d504c4098ff00ead4bf07b8;[];false
RAMPART;git;2015-12-06;275a2b74a5e09e417fa34b6a4ec889e66987de4e;[];false
RAMPART;git;2015-12-06;12a26c42e94b41fae5215eb9f0663f06605c6e81;[];false
RAMPART;git;2015-12-06;1fd3e0585695e04256e2a05432c474997675461d;[];false
RAMPART;git;2015-12-06;fb7938a5185e717aceb527d9f7303a4c4a72892b;[];false
RAMPART;git;2015-12-06;0fc26c02219813d5bc7a654e05591469bce1183b;[];false
RAMPART;git;2015-12-06;7cd2f8be0b5ec7c5fe3b3fa4863d086b1612f5a2;[];false
RAMPART;git;2015-12-06;07355fdeefe3cea2735c67df15ac15b6f15a04df;[];false
RAMPART;git;2015-12-06;dfbceba90a34f2ce44f84c7fc070e3b88c11ed36;[];false
RAMPART;git;2015-12-06;fd002f5c36c1b86d09cd94f48cc41554a435c64d;[];false
RAMPART;git;2015-12-06;feb768f8404c2e43e4fb1516ddc0023bd1914a5f;[];false
RAMPART;git;2015-12-06;9419d387b3091ac17c10b57f3949c1a2dec73a79;[];false
RAMPART;git;2015-12-07;83f68185d726fde5ec8bbd4d1c583400efe8fcd3;[];false
RAMPART;git;2015-12-07;3635e96c3115e4eff100f2d5d74d48b66ea7e290;[];false
RAMPART;git;2015-12-08;961d064d8cc40c89ba7dfbde7ea1aa110935db45;[];false
RAMPART;git;2015-12-08;4f3829f68d833ead3a715af945ffe3b50baea33b;[];false
RAMPART;git;2015-12-08;d284c8d9739660c440416427574526eb35f12d53;[];false
RAMPART;git;2015-12-08;113d15309406087e40bc8fde78a5f75a47b98812;[];false
RAMPART;git;2015-12-09;edbb243b8a4b96a86bcb69e18b9c648b6b62a93a;[];false
RAMPART;git;2015-12-09;715bdd9c69ed635b1bf88591eae936514faa843a;[];false
RAMPART;git;2015-12-09;aa8556ed9a5d2dcb6bad961fa4f519b56b8b2e07;[];false
RAMPART;git;2015-12-09;1441a433ea1e78c88d20e8ee14bc0c14b7f05983;[];false
RAMPART;git;2015-12-10;8e79f9bb7c9c7159a7a48a889be08b4c263b7035;[];false
RAMPART;git;2015-12-10;8e9772450b1009e268ab9c7cd09fc76668818411;[];false
RAMPART;git;2015-12-10;75027573a458e3e59fa874065ed7ca09f5462eb3;[];false
RAMPART;git;2015-12-10;65b99e30fc7040e7367568852ce73fd71baffe98;[];false
RAMPART;git;2015-12-10;676ccf9d8148131c58b26b03d445fbae661d8ed8;[];false
RAMPART;git;2015-12-10;f0823b07ba5d1b97e58186754eb564bb9cb84678;[];false
RAMPART;git;2015-12-10;bb8ad6d57b974f7b21624b348312430c2d99fdb7;[];false
RAMPART;git;2015-12-10;dbb962ec8f0d9f9a6c9d70c703d9d0194dd62ab2;[];false
RAMPART;git;2015-12-10;b6710f52a0bdbabda38a3ba9275f2410a130fb57;[];false
RAMPART;git;2015-12-10;00d8421347407ea99af3882350d43cc7122fb846;[];false
RAMPART;git;2015-12-11;d8e6f71efd30fd0e5245a1313a8696eec03cfccc;[];false
RAMPART;git;2015-12-11;ffc98ce8778ac13792892d7c7f671f79cbb8b3f1;[];false
RAMPART;git;2015-12-11;b1cfa60791f2657220f079c6f3393efe65331e8b;[];false
RAMPART;git;2015-12-11;8b60c008b066d8b1fd3f3a85b5e27217f36dffc6;[];false
RAMPART;git;2015-12-11;f19e71d972dec396b0c3043f85eb4a5fe9424b8c;[];false
RAMPART;git;2015-12-11;92ed71998a24810d7b6f7b3a73ba8b76c9ace032;[RAMPART-367];true
RAMPART;git;2015-12-11;239079bfbc1abe9582d29cfc5938f601c11d52ea;[];false
RAMPART;git;2015-12-11;9d9d1aa02c6c9e5210593c288d882ccf840e4d2e;[RAMPART-367];true
RAMPART;git;2015-12-11;e1a5d3eb6744b916cf4c4d426f04cfc6917f58e4;[];false
RAMPART;git;2015-12-11;df309e35b28172cc08eb7ac781d03fe9fffbfb94;[];false
RAMPART;git;2015-12-12;6678fdc696600715e6159a7d363405e6545aa9fb;[];false
RAMPART;git;2015-12-12;991e8630dad88abb4b67a3e5b0ca390c4b590d65;[];false
RAMPART;git;2015-12-12;76b41bd0b3a0b0b08fc8a313b63cb6b792d8a2b2;[];false
RAMPART;git;2015-12-12;d44db575283973b9d921a851c2c24f0c569ef6c7;[];false
RAMPART;git;2015-12-12;1840806550d01c3c192374fb01a9f66677db6807;[];false
RAMPART;git;2015-12-12;de4864fe9612aec51dae37f2b5358064f3409289;[];false
RAMPART;git;2015-12-12;2e12bba7994e5b1b92c51c1efb0de324467d9068;[];false
RAMPART;git;2015-12-12;041ee17e2bbd3cbd6c6d2cfc51a9b09e7e2b1245;[];false
RAMPART;git;2015-12-12;b42d35ad57c478405e70dade21ddb3d4391f9e50;[];false
RAMPART;git;2015-12-12;76baed9972a26ed58d7e374a278ab82cbdc5e0e6;[];false
RAMPART;git;2015-12-12;387d8def9909ad2bb3d7d09d98fda501cdd8ed04;[];false
RAMPART;git;2015-12-17;987cb1f624a38dc51773dadc3061132786702ebc;[];false
RAMPART;git;2015-12-17;fb696007329b260a056d97e4b128154801fece46;[];false
RAMPART;git;2015-12-19;a483b4740cace433e1568f666b1db04d64cb6bfc;[];false
RAMPART;git;2015-12-19;7189230cae31a6741f17bf54290a5d51abcb8fcd;[];false
RAMPART;git;2015-12-19;0e1375bad74cd4060c1b653ed662b4fd7d45c819;[];false
RAMPART;git;2015-12-20;30ebe6aa5e16df909f6a07afafaeba6d9160e098;[];false
RAMPART;git;2015-12-20;f70ac9a0b9e18f0898e17593f1fdc7f81bd9deff;[];false
RAMPART;git;2015-12-20;cf65adb0cd97d4736dc805798a72505be79072bd;[];false
RAMPART;git;2015-12-20;e8cffe9ee81cbc35f43df570f9c6ff27ab064b0a;[];false
RAMPART;git;2015-12-20;5857233e0ba341c25a5a1431389f5c6b17731246;[];false
RAMPART;git;2015-12-20;e8edb37d8bc73374c2ff23e9b0c1a14a179eff97;[];false
RAMPART;git;2015-12-20;108a614853ee3557ef5a04c7a0b501c1c5e922d3;[RAMPART-405];true
RAMPART;git;2015-12-20;d31c0c95f4f5947c3b8709cc3f55387b6a86448a;[RAMPART-405];true
RAMPART;git;2015-12-21;c293915979a2d6108a733f17bfa904b42edbbb54;[];false
RAMPART;git;2015-12-21;10a51ae828e97316f1d98fe82c045063fdfac9e7;[];false
RAMPART;git;2015-12-22;24303aebee126ba3c1e68b38d0107cd78a1d019a;[];false
RAMPART;git;2015-12-22;72fdc3bace2ddde869f1e76b1ad9a91a86247e33;[];false
RAMPART;git;2015-12-22;4fb98cf993ff398ff5d8a47a2c969d809f1515eb;[];false
RAMPART;git;2015-12-23;c383ebe80cf335a89daaf809cf237c889dac4599;[];false
RAMPART;git;2015-12-23;540ca3b84c340aab14cf7a15d17137628aa9e78c;[];false
RAMPART;git;2015-12-23;186cf8b0a21829a47174f84afc35fe0222c25e95;[];false
RAMPART;git;2015-12-24;e1e3aea58d7c23b3f92a975ac360db7368f7d40a;[];false
RAMPART;git;2015-12-24;30866fcc50476801dc940bde593b224953db90de;[];false
RAMPART;git;2015-12-24;d06cc0df313b135c39a1d8e130346d092ca963d0;[];false
RAMPART;git;2015-12-25;5baaa28471635b0b0ffd417467d589ae82633ddc;[];false
RAMPART;git;2015-12-26;27617495378c0d3945c3e5bcdc090fb644e13335;[];false
RAMPART;git;2015-12-26;1c10e023bd746e37e7bff191b4bb9546c445f187;[];false
RAMPART;git;2015-12-26;96ecadac7744348fbfa4eb25e3671a4c77b85b64;[];false
RAMPART;git;2015-12-26;4d8252f331cd85694224bd035a65dd004ae1b604;[];false
RAMPART;git;2015-12-26;60a7837f25a5b1b3e23bf851d5e0bdc9a59c28a0;[];false
RAMPART;git;2015-12-26;8af8d85611206538142e3160b151e3c27f513dbd;[RAMPART-381];true
RAMPART;git;2015-12-26;02f7bb749bcef6d8de82cc1650eb71f1eb84a080;[RAMPART-378];true
RAMPART;git;2015-12-26;732cf4af4a6ae021ffe143461a6aecb5b29dc92c;[RAMPART-379];true
RAMPART;git;2015-12-26;3df5f755dfa8c6b6d07fb4907c49486d0169e54a;[];false
RAMPART;git;2015-12-26;a252bd93dd2368a1a833bcda573211b930e6e827;[RAMPART-381];true
RAMPART;git;2015-12-27;105334e27a90861f183dd52e3bc30eb5b2e0451f;[RAMPART-378];true
RAMPART;git;2015-12-27;e69550231acf7fc4ee3c5a2e9e4e71bb98e2d369;[RAMPART-379];true
RAMPART;git;2015-12-27;ead0d9cdfda3869cbb29960329776ba68239f1af;[RAMPART-343];true
RAMPART;git;2015-12-28;f4b6d34119c187d1a0b5c5fd753dcbf9ff377cae;[];false
RAMPART;git;2015-12-28;e3352b66bdbc6ef41755eee7edb629a5e1af668b;[];false
RAMPART;git;2015-12-28;4deceecbda0065436651f18d41faec111ddc537c;[];false
RAMPART;git;2015-12-28;2593e6bd29b09dcef221922e0697476852bcd081;[];false
RAMPART;git;2015-12-28;c8458b6bda5743ba6855e6f7878781b56dd913e8;[];false
RAMPART;git;2015-12-28;842344fc744957259b54c3b342555d458a03de1c;[];false
RAMPART;git;2015-12-28;8a21cfadc4d3a446dc2f669710cd7c2fbbbd0b9c;[];false
RAMPART;git;2015-12-28;23905203a4daab36ddd2045d98986f79b9ad818f;[];false
RAMPART;git;2015-12-28;dbb652dc0e643e353397b14387ab98c72e0099ff;[];false
RAMPART;git;2015-12-29;61fe09cc532bb29ac59385dd7eb8c17f11ae5ab4;[];false
RAMPART;git;2015-12-29;cd6e3b5d308fba87237df49aded537fcbc80cf9c;[];false
RAMPART;git;2015-12-29;a90fb29c8712b1d91fd8e44631c9be69bb45ae8b;[];false
RAMPART;git;2015-12-29;9add913fa5471d41926bb3be945f0c9b2e48262f;[];false
RAMPART;git;2016-01-17;5054f5f02cfa78bb1cba595a6c83e16825b9af71;[];false
RAMPART;git;2016-01-18;4bd4313d3f2528ef7a71b1d28037a389bbba1438;[];false
RAMPART;git;2016-01-18;f0ec656551dfa1b4e44ea9e03093d125ebd007c3;[];false
